Ligand gene symbol	Ligand HGNC ID	Ligand location	Receptor gene symbol	Receptor HGNC ID	PMID support
A2M	HGNC:7	secreted	LRP1	HGNC:6692	"1702392, 10652313, 12194978"
AANAT	HGNC:19	secreted	MTNR1A	HGNC:7463	12943195
AANAT	HGNC:19	secreted	MTNR1B	HGNC:7464	12943195
ACE	HGNC:2707	plasma membrane; secreted	BDKRB2	HGNC:1030	10748135
ADAM10	HGNC:188	plasma membrane	EPHA3	HGNC:3387	16239146
ADAM11	HGNC:189	plasma membrane	ITGA4	HGNC:6140	28913673
ADAM12	HGNC:190	plasma membrane	ITGA9	HGNC:6145	10944520
ADAM12	HGNC:190	plasma membrane	ITGB1	HGNC:6153	10944520
ADAM12	HGNC:190	plasma membrane	SDC4	HGNC:10661	12509413
ADAM15	HGNC:193	plasma membrane	ITGA5	HGNC:6141	"9914169, 9516430"
ADAM15	HGNC:193	plasma membrane	ITGA9	HGNC:6145	10944520
ADAM15	HGNC:193	plasma membrane	ITGAV	HGNC:6150	9914169
ADAM15	HGNC:193	plasma membrane	ITGB1	HGNC:6153	"9914169, 10944520"
ADAM15	HGNC:193	plasma membrane	ITGB3	HGNC:6156	9516430
ADAM17	HGNC:195	plasma membrane	ITGA5	HGNC:6141	14970227
ADAM17	HGNC:195	plasma membrane	ITGB1	HGNC:6153	14970227
ADAM17	HGNC:195	plasma membrane	NOTCH1	HGNC:7881	"10882063, 9620803"
ADAM2	HGNC:198	plasma membrane	ITGA6	HGNC:6142	9889149
ADAM2	HGNC:198	plasma membrane	ITGA9	HGNC:6145	21060781
ADAM2	HGNC:198	plasma membrane	ITGB1	HGNC:6153	9889149
ADAM2	HGNC:198	plasma membrane	ITGB7	HGNC:6162	21060781
ADAM23	HGNC:202	plasma membrane	ITGA4	HGNC:6140	28913673
ADAM23	HGNC:202	plasma membrane	ITGA5	HGNC:6141	10749942
ADAM23	HGNC:202	plasma membrane	ITGB3	HGNC:6156	10749942
ADAM28	HGNC:206	plasma membrane	ITGA4	HGNC:6140	11724793
ADAM29	HGNC:207	plasma membrane	ITGA4	HGNC:6140	28913673
ADAM7	HGNC:214	plasma membrane	ITGA4	HGNC:6140	15504110
ADAM7	HGNC:214	plasma membrane	ITGB7	HGNC:6162	15504110
ADAM9	HGNC:216	plasma membrane	ITGA3	HGNC:6139	15361064
ADAM9	HGNC:216	plasma membrane	ITGA6	HGNC:6142	"10825303, 15361064"
ADAM9	HGNC:216	plasma membrane	ITGAV	HGNC:6150	"11162558, 15361064"
ADAM9	HGNC:216	plasma membrane	ITGB1	HGNC:6153	10825303
ADAM9	HGNC:216	plasma membrane	ITGB5	HGNC:6160	11162558
ADCYAP1	HGNC:241	secreted	ADCYAP1R1	HGNC:242	"10100920, 8703026, 10583729, 16930633, 11931347, 10583729, 8253796"
ADCYAP1	HGNC:241	secreted	SCTR	HGNC:10608	1335692
ADCYAP1	HGNC:241	secreted	VIPR1	HGNC:12694	"11897681, 9928018, 11931347, 16930633, 8791009, 12429744"
ADCYAP1	HGNC:241	secreted	VIPR2	HGNC:12695	"16930633, 11978642, 9928018, 11931347, 8146174"
ADGRB1	HGNC:943	plasma membrane	RTN4R	HGNC:18601	30477585
ADGRB1	HGNC:943	plasma membrane	RTN4RL1	HGNC:21329	30477585
ADGRB1	HGNC:943	plasma membrane	RTN4RL2	HGNC:23053	30477585
ADGRE5	HGNC:1711	plasma membrane	CD55	HGNC:2665	23447688
ADIPOQ	HGNC:13633	secreted	ADIPOR1	HGNC:24040	12802337
ADIPOQ	HGNC:13633	secreted	ADIPOR2	HGNC:24041	"12802337, 12802337"
ADM	HGNC:259	secreted	CALCR	HGNC:1440	"15692146, 12565884"
ADM	HGNC:259	secreted	CALCRL	HGNC:16709	"9620797, 9620797"
ADM	HGNC:259	secreted	MRGPRX2	HGNC:17983	"16111673, 15823563"
ADM	HGNC:259	secreted	RAMP2	HGNC:9844	9620797
ADM	HGNC:259	secreted	RAMP3	HGNC:9845	30139742
ADM2	HGNC:28898	secreted	CALCR	HGNC:1440	15692146
ADM2	HGNC:28898	secreted	CALCRL	HGNC:16709	14615490
ADM2	HGNC:28898	secreted	RAMP1	HGNC:9843	12684503
ADM2	HGNC:28898	secreted	RAMP2	HGNC:9844	30139743
ADM2	HGNC:28898	secreted	RAMP3	HGNC:9845	30139742
AFDN	HGNC:7137	plasma membrane	EPHA7	HGNC:3390	9707552
AFDN	HGNC:7137	plasma membrane	EPHB2	HGNC:3393	9707552
AFDN	HGNC:7137	plasma membrane	EPHB3	HGNC:3394	9707552
AFDN	HGNC:7137	plasma membrane	EPHB6	HGNC:3396	9707552
AFDN	HGNC:7137	plasma membrane	F11R	HGNC:14685	10856295
AFDN	HGNC:7137	plasma membrane	NECTIN1	HGNC:9706	"10225955, 10617658"
AFDN	HGNC:7137	plasma membrane	NECTIN2	HGNC:9707	10225955
AFDN	HGNC:7137	plasma membrane	NECTIN3	HGNC:17664	"10744716, 11024295"
AFDN	HGNC:7137	plasma membrane	NECTIN4	HGNC:19688	11544254
AGRN	HGNC:329	secreted	ATP1A3	HGNC:801	16630822
AGRN	HGNC:329	secreted	DAG1	HGNC:2666	7531888
AGRN	HGNC:329	secreted	LRP4	HGNC:6696	18848351
AGRN	HGNC:329	secreted	MUSK	HGNC:7525	8653787
AGRP	HGNC:330	secreted	MC3R	HGNC:6931	"9311920, 9819197, 9893984, 11747427"
AGRP	HGNC:330	secreted	MC4R	HGNC:6932	"9311920, 9299416, 10318826, 11747427, 12815165"
AGRP	HGNC:330	secreted	MC5R	HGNC:6933	"9892020, 9892020"
AGRP	HGNC:330	secreted	SDC3	HGNC:10660	11461706
AGT	HGNC:333	secreted	AGTR1	HGNC:336	"10993080, 15930094, 21464395, 10193788, 12006574, 15930094"
AGT	HGNC:333	secreted	AGTR2	HGNC:338	"8315512, 8185599, 17138938, 21464395, 2775266, 7850406, 8242249, 8185599"
AGT	HGNC:333	secreted	LRP2	HGNC:6694	15467006
AGT	HGNC:333	secreted	MAS1	HGNC:6899	"12829792, 12829792"
AHSG	HGNC:349	secreted	INSR	HGNC:6091	7906861
ALB	HGNC:399	secreted	LRP2	HGNC:6694	"11158855, 8898021"
ALCAM	HGNC:400	plasma membrane	CD6	HGNC:1691	23602662
ALCAM	HGNC:400	plasma membrane	CHL1	HGNC:1939	31300520
ALCAM	HGNC:400	plasma membrane	L1CAM	HGNC:6470	31300520
ALCAM	HGNC:400	plasma membrane	NRP1	HGNC:8004	31300520
ALKAL1	HGNC:33775	secreted	ALK	HGNC:427	26630010
ALKAL1	HGNC:33775	secreted	LTK	HGNC:6721	26630010
ALKAL2	HGNC:27683	secreted	ALK	HGNC:427	26630010
ALKAL2	HGNC:27683	secreted	LTK	HGNC:6721	26630010
AMBN	HGNC:452	secreted	CD63	HGNC:1692	"17708745, 21149578"
AMELX	HGNC:461	secreted	CD63	HGNC:1692	17708745
AMELX	HGNC:461	secreted	LAMP1	HGNC:6499	20382373
AMELX	HGNC:461	secreted	LAMP2	HGNC:6501	17708745
AMELY	HGNC:462	secreted	CD63	HGNC:1692	17708745
AMELY	HGNC:462	secreted	LAMP1	HGNC:6499	20382373
AMELY	HGNC:462	secreted	LAMP2	HGNC:6501	17708745
AMH	HGNC:464	secreted	ACVR1	HGNC:171	14656470
AMH	HGNC:464	secreted	AMHR2	HGNC:465	"7997230, 8889695"
AMH	HGNC:464	secreted	EGFR	HGNC:3236	8596488
ANG	HGNC:483	secreted	PLXNB2	HGNC:9104	29100074
ANGPT1	HGNC:484	secreted	ITGA5	HGNC:6141	15781448
ANGPT1	HGNC:484	secreted	ITGB1	HGNC:6153	"19379779, 15690488"
ANGPT1	HGNC:484	secreted	TEK	HGNC:11724	"8980223, 9723709, 8980223, 12427764, 8980224"
ANGPT1	HGNC:484	secreted	TIE1	HGNC:11809	11172728
ANGPT2	HGNC:485	secreted	TEK	HGNC:11724	"9204896, 9723709"
ANGPT2	HGNC:485	secreted	TIE1	HGNC:11809	27548530
ANGPT4	HGNC:487	secreted	TEK	HGNC:11724	"10051567, 15284220"
ANGPTL1	HGNC:489	secreted	TEK	HGNC:11724	10051567
ANGPTL2	HGNC:490	secreted	ITGA5	HGNC:6141	29074299
ANGPTL2	HGNC:490	secreted	ITGB1	HGNC:6153	29074299
ANGPTL2	HGNC:490	secreted	LILRB2	HGNC:6606	26056041
ANGPTL3	HGNC:491	secreted	ITGA5	HGNC:6141	11877390
ANGPTL3	HGNC:491	secreted	ITGAV	HGNC:6150	11877390
ANGPTL3	HGNC:491	secreted	ITGB3	HGNC:6156	11877390
ANOS1	HGNC:6211	secreted	FGFR1	HGNC:3688	19696444
ANOS1	HGNC:6211	secreted	SDC2	HGNC:10659	8832397
ANPEP	HGNC:500	plasma membrane	SELE	HGNC:10718	29777742
ANXA1	HGNC:533	plasma membrane; secreted	DYSF	HGNC:3097	14506282
ANXA1	HGNC:533	plasma membrane; secreted	EGFR	HGNC:3236	15581623
ANXA1	HGNC:533	plasma membrane; secreted	FPR1	HGNC:3826	"10882119, 10882119, 12560218, 10882119"
ANXA1	HGNC:533	plasma membrane; secreted	FPR2	HGNC:3827	"12368905, 10882119, 12560218, 16278303"
ANXA1	HGNC:533	plasma membrane; secreted	FPR3	HGNC:3828	15187149
ANXA2	HGNC:537	plasma membrane; secreted	ROBO4	HGNC:17985	29786451
ANXA2	HGNC:537	plasma membrane; secreted	TLR2	HGNC:11848	26885373
APELA	HGNC:48925	secreted	APLNR	HGNC:339	"25639753, 28137936, 26611206"
APLN	HGNC:16665	secreted	APLNR	HGNC:339	"10617103, 9792798, 12603839, 15341513, 10777510, 12939143, 11336787, 12603839"
APOB	HGNC:603	secreted	ENO1	HGNC:3350	29997113
APOB	HGNC:603	secreted	LDLR	HGNC:6547	"11327878, 12031600"
APOB	HGNC:603	secreted	LRP2	HGNC:6694	10330424
APOB	HGNC:603	secreted	LSR	HGNC:29572	7615497
APOB	HGNC:603	secreted	OLR1	HGNC:8133	9763524
APOD	HGNC:612	secreted	LEPR	HGNC:6554	11344130
APOE	HGNC:613	secreted	LDLR	HGNC:6547	"11327878, 12036962"
APOE	HGNC:613	secreted	LRP1	HGNC:6692	"2779654, 22622580"
APOE	HGNC:613	secreted	LRP2	HGNC:6694	1464627
APOE	HGNC:613	secreted	LRP5	HGNC:6697	9832610)
APOE	HGNC:613	secreted	LRP8	HGNC:6700	"12950167, 12167620, 12950167"
APOE	HGNC:613	secreted	SCARB1	HGNC:1664	12138091
APOE	HGNC:613	secreted	SORL1	HGNC:11185	11294867
