Ligand gene symbol	Receptor gene symbol
A2M	LRP1
AANAT	MTNR1A
AANAT	MTNR1B
ACE	BDKRB2
ADAM10	EPHA1
ADAM10	EPHA10
ADAM10	EPHA2
ADAM10	EPHA3
ADAM10	EPHA4
ADAM10	EPHA5
ADAM10	EPHA6
ADAM10	EPHA7
ADAM10	EPHA8
ADAM11	ITGA4
ADAM12	ITGA9
ADAM12	ITGB1
ADAM12	SDC4
ADAM15	ITGA5
ADAM15	ITGA9
ADAM15	ITGAV
ADAM15	ITGB1
ADAM15	ITGB3
ADAM17	ITGA5
ADAM17	ITGB1
ADAM17	NOTCH1
ADAM2	ADAM21
ADAM2	ADAM30
ADAM2	ITGA6
ADAM2	ITGA9
ADAM2	ITGB1
ADAM2	ITGB7
ADAM20	ADAM21
ADAM20	ADAM30
ADAM23	ADAM22
ADAM23	CACNG2
ADAM23	CACNG3
ADAM23	CACNG4
ADAM23	CACNG8
ADAM23	ITGA4
ADAM23	ITGA5
ADAM23	ITGB3
ADAM28	ITGA4
ADAM28	ITGB1
ADAM29	ITGA4
ADAM7	ITGA4
ADAM7	ITGB7
ADAM8	ITGA9
ADAM8	ITGB1
ADAM9	ITGA3
ADAM9	ITGA6
ADAM9	ITGAV
ADAM9	ITGB1
ADAM9	ITGB5
ADCYAP1	ADCYAP1R1
ADCYAP1	SCTR
ADCYAP1	VIPR1
ADCYAP1	VIPR2
ADGRB1	RTN4R
ADGRB1	RTN4RL1
ADGRB1	RTN4RL2
ADIPOQ	ADIPOR1
ADIPOQ	ADIPOR2
ADM	CALCR
ADM	CALCRL
ADM	GPR182
ADM	MRGPRX2
ADM	RAMP2
ADM	RAMP3
ADM2	CALCR
ADM2	CALCRL
ADM2	RAMP1
ADM2	RAMP2
ADM2	RAMP3
ADORA2A	ADORA1
ADORA2A	ADORA2A
ADORA2A	ADORA2B
AFDN	EPHA7
AFDN	EPHB2
AFDN	EPHB3
AFDN	EPHB6
AFDN	F11R
AFDN	NECTIN1
AFDN	NECTIN2
AFDN	NECTIN3
AFDN	NECTIN4
AFDN	PVR
AGRN	ATP1A3
AGRN	CHRM1
AGRN	CHRNA1
AGRN	CHRNB1
AGRN	CHRNG
AGRN	ITGA1
AGRN	ITGA2
AGRN	ITGA3
AGRN	ITGA5
AGRN	ITGA6
AGRN	ITGA7
AGRN	ITGA8
AGRN	ITGA9
AGRN	ITGAV
AGRN	ITGB1
AGRN	LRP4
AGRN	MUSK
AGRP	MC3R
AGRP	MC4R
AGRP	MC5R
AGRP	SDC3
AGT	ADRB2
AGT	AGTR1
AGT	AGTR2
AGT	CCR3
AGT	CCR5
AGT	CFTR
AGT	CHRM1
AGT	CXCR4
AGT	FPR1
AGT	HTR2C
AGT	LRP2
AGT	MAS1
AGT	P2RY2
AGT	PTGER1
AHSG	BAMBI
AHSG	BMPR1A
AHSG	BMPR1B
AHSG	BMPR2
AHSG	HJV
AHSG	INSR
AHSG	RGMB
ALB	LRP2
ALCAM	CD6
ALCAM	CHL1
ALCAM	L1CAM
ALCAM	NRP1
ALKAL1	ALK
ALKAL1	LTK
ALKAL2	ALK
ALKAL2	LTK
AMBN	CD63
AMELX	CD63
AMELX	LAMP1
AMELX	LAMP2
AMELY	CD63
AMELY	LAMP1
AMELY	LAMP2
AMH	ACVR1
AMH	AMHR2
AMH	EGFR
ANG	PLXNB2
ANGPT1	ITGA5
ANGPT1	ITGB1
ANGPT1	TEK
ANGPT1	TIE1
ANGPT2	TEK
ANGPT2	TIE1
ANGPT4	TEK
ANGPTL1	TEK
ANGPTL2	ITGA5
ANGPTL2	ITGB1
ANGPTL2	LILRB2
ANGPTL3	ITGA5
ANGPTL3	ITGAV
ANGPTL3	ITGB3
ANOS1	FGFR1
ANOS1	SDC2
ANPEP	SELE
ANXA1	DYSF
ANXA1	EGFR
ANXA1	FPR1
ANXA1	FPR2
ANXA1	FPR3
ANXA2	DYSF
ANXA2	ROBO4
ANXA2	TLR2
APELA	APLNR
APLN	APLNR
APOA2	APP
APOA2	GPC1
APOA2	GPC2
APOA2	GPC4
APOA2	GPC5
APOA2	SDC1
APOA2	SDC2
APOA2	SDC3
APOA2	SDC4
APOA4	APP
APOA4	GPC1
APOA4	GPC2
APOA4	GPC4
APOA4	GPC5
APOA4	SDC1
APOA4	SDC2
APOA4	SDC3
APOA4	SDC4
APOA5	APP
APOB	APP
APOB	CD36
APOB	COLEC12
APOB	ENO1
APOB	GPC1
APOB	GPC2
APOB	GPC4
APOB	GPC5
APOB	LDLR
APOB	LRP2
APOB	LSR
APOB	OLR1
APOB	SDC1
APOB	SDC2
APOB	SDC3
APOB	SDC4
APOB	SORT1
APOB	TLR4
APOB	TLR6
APOB	VLDLR
APOC1	APP
APOC1	LSR
APOC1	VLDLR
APOC2	APP
APOC2	GPC1
APOC2	GPC2
APOC2	GPC4
APOC2	GPC5
APOC2	SDC1
APOC2	SDC2
APOC2	SDC3
APOC2	SDC4
APOC3	APP
APOC3	GPC1
APOC3	GPC2
APOC3	GPC4
APOC3	GPC5
APOC3	SDC1
APOC3	SDC3
APOC3	SDC4
APOC4	APP
APOC4	LSR
APOC4	VLDLR
APOD	LEPR
APOE	APP
APOE	GPC1
APOE	GPC2
APOE	GPC4
APOE	GPC5
APOE	LDLR
APOE	LRP1
APOE	LRP2
APOE	LRP5
APOE	LRP8
APOE	SCARB1
APOE	SDC1
APOE	SDC2
APOE	SDC3
APOE	SDC4
APOE	SORL1
APOE	VLDLR
APOL1	APP
APP	CAV1
APP	CD74
APP	FPR2
APP	GPC1
APP	LRP1
APP	NCSTN
APP	SORL1
APP	TNFRSF21
AREG	EGFR
AREG	ERBB2
AREG	ERBB3
ARF1	CD4
ARF1	CD74
ARF1	CHRM3
ARF1	IGF2R
ARF1	INSR
ARF1	PLD2
ARF1	SORT1
ARF1	TFRC
ARTN	GFRA1
ARTN	GFRA2
ARTN	GFRA3
ARTN	GFRA4
ARTN	RET
ASIP	ATRN
ASIP	F11R
ASIP	MC1R
ASIP	MC2R
ASIP	MC3R
ASIP	MC4R
ASIP	MC5R
AVP	AVPR1A
AVP	AVPR1B
AVP	AVPR2
AVP	OXTR
AZGP1	ITGAV
B2M	CD1A
B2M	CD1B
B2M	CD1C
B2M	CD1D
B2M	CD3E
B2M	CD8A
B2M	GYPC
B2M	HFE
B2M	HJV
B2M	HLA-B
B2M	HLA-F
B2M	KIR2DL4
B2M	KIR3DL2
B2M	KLRC2
B2M	KLRC4
B2M	LILRA1
B2M	LILRA2
B2M	LILRA4
B2M	LILRA5
B2M	LILRA6
B2M	LILRB1
B2M	LILRB3
B2M	LILRB5
B2M	TFR2
B2M	TYROBP
BAG6	NCR3
BDNF	NGFR
BDNF	NTRK1
BDNF	NTRK2
BDNF	SORT1
BGN	FGFR3
BGN	TLR2
BGN	TLR4
BMP10	ACVR2A
BMP10	ACVRL1
BMP10	BMPR1A
BMP10	BMPR1B
BMP10	BMPR2
BMP10	ENG
BMP15	ACVR2A
BMP15	BMPR1A
BMP15	BMPR1B
BMP15	BMPR2
BMP2	ACVR2A
