Ligand gene symbol	Receptor gene symbol
A2M	LRP1
AANAT	MTNR1A
AANAT	MTNR1B
ACE	BDKRB2
ADAM10	EPHA3
ADAM11	ITGA4
ADAM12	ITGA9
ADAM12	ITGB1
ADAM12	SDC4
ADAM15	ITGA5
ADAM15	ITGA9
ADAM15	ITGAV
ADAM15	ITGB1
ADAM15	ITGB3
ADAM17	ITGA5
ADAM17	ITGB1
ADAM17	NOTCH1
ADAM2	ITGA6
ADAM2	ITGA9
ADAM2	ITGB1
ADAM2	ITGB7
ADAM23	ITGA4
ADAM23	ITGA5
ADAM23	ITGB3
ADAM28	ITGA4
ADAM29	ITGA4
ADAM7	ITGA4
ADAM7	ITGB7
ADAM9	ITGA3
ADAM9	ITGA6
ADAM9	ITGAV
ADAM9	ITGB1
ADAM9	ITGB5
ADCYAP1	ADCYAP1R1
ADCYAP1	SCTR
ADCYAP1	VIPR1
ADCYAP1	VIPR2
ADGRB1	RTN4R
ADGRB1	RTN4RL1
ADGRB1	RTN4RL2
ADGRE5	CD55
ADIPOQ	ADIPOR1
ADIPOQ	ADIPOR2
ADM	CALCR
ADM	CALCRL
ADM	MRGPRX2
ADM	RAMP2
ADM	RAMP3
ADM2	CALCR
ADM2	CALCRL
ADM2	RAMP1
ADM2	RAMP2
ADM2	RAMP3
AFDN	EPHA7
AFDN	EPHB2
AFDN	EPHB3
AFDN	EPHB6
AFDN	F11R
AFDN	NECTIN1
AFDN	NECTIN2
AFDN	NECTIN3
AFDN	NECTIN4
AGRN	ATP1A3
AGRN	DAG1
AGRN	LRP4
AGRN	MUSK
AGRP	MC3R
AGRP	MC4R
AGRP	MC5R
AGRP	SDC3
AGT	AGTR1
AGT	AGTR2
AGT	LRP2
AGT	MAS1
AHSG	INSR
ALB	LRP2
ALCAM	CD6
ALCAM	CHL1
ALCAM	L1CAM
ALCAM	NRP1
ALKAL1	ALK
ALKAL1	LTK
ALKAL2	ALK
ALKAL2	LTK
AMBN	CD63
AMELX	CD63
AMELX	LAMP1
AMELX	LAMP2
AMELY	CD63
AMELY	LAMP1
AMELY	LAMP2
AMH	ACVR1
AMH	AMHR2
AMH	EGFR
ANG	PLXNB2
ANGPT1	ITGA5
ANGPT1	ITGB1
ANGPT1	TEK
ANGPT1	TIE1
ANGPT2	TEK
ANGPT2	TIE1
ANGPT4	TEK
ANGPTL1	TEK
ANGPTL2	ITGA5
ANGPTL2	ITGB1
ANGPTL2	LILRB2
ANGPTL3	ITGA5
ANGPTL3	ITGAV
ANGPTL3	ITGB3
ANOS1	FGFR1
ANOS1	SDC2
ANPEP	SELE
ANXA1	DYSF
ANXA1	EGFR
ANXA1	FPR1
ANXA1	FPR2
ANXA1	FPR3
ANXA2	ROBO4
ANXA2	TLR2
APELA	APLNR
APLN	APLNR
APOB	ENO1
APOB	LDLR
APOB	LRP2
APOB	LSR
APOB	OLR1
APOD	LEPR
APOE	LDLR
APOE	LRP1
APOE	LRP2
APOE	LRP5
APOE	LRP8
APOE	SCARB1
APOE	SORL1
APOE	VLDLR
APP	CAV1
APP	CD74
APP	FPR2
APP	GPC1
APP	LRP1
APP	NCSTN
APP	TNFRSF21
AREG	EGFR
AREG	ERBB3
ARF1	CHRM3
ARF1	INSR
ARF1	PLD2
ARTN	GFRA1
ARTN	GFRA3
ARTN	RET
ASIP	ATRN
ASIP	F11R
ASIP	MC1R
ASIP	MC2R
ASIP	MC3R
ASIP	MC4R
ASIP	MC5R
AVP	AVPR1A
AVP	AVPR1B
AVP	AVPR2
AVP	OXTR
AZGP1	ITGAV
B2M	CD1A
B2M	CD1B
B2M	HLA-F
B2M	LILRB1
BAG6	NCR3
BDNF	NGFR
BDNF	NTRK2
BDNF	SORT1
BGN	FGFR3
BGN	TLR2
BGN	TLR4
BMP10	ACVR2A
BMP10	ACVRL1
BMP10	BMPR1A
BMP10	BMPR1B
BMP10	BMPR2
BMP10	ENG
BMP15	ACVR2A
BMP15	BMPR1A
BMP15	BMPR1B
BMP15	BMPR2
BMP2	ACVR2A
BMP2	ACVR2B
BMP2	BMPR1A
BMP2	BMPR1B
BMP2	BMPR2
BMP2	ENG
BMP2	HJV
BMP2	RGMB
BMP3	ACVR2B
BMP4	BMPR1A
BMP4	BMPR1B
BMP4	BMPR2
BMP4	CFC1
BMP4	RGMB
BMP5	HJV
BMP6	ACVR1
BMP6	ACVR2A
BMP6	BMPR1A
BMP6	BMPR1B
BMP6	BMPR2
BMP6	HJV
BMP7	ACVR1
BMP7	ACVR2A
BMP7	ACVR2B
BMP7	BMPR1A
BMP7	BMPR1B
BMP7	BMPR2
BMP7	ENG
BMP7	HJV
BMP8A	ACVR2A
BMP8A	ACVR2B
BMP8A	BMPR1A
BMP8A	BMPR2
BMP8A	TGFBR1
BMP8A	TGFBR2
BSG	SELE
BSG	SLC16A1
BSG	SLC16A7
BST2	LILRA4
BTC	EGFR
BTC	ERBB2
BTC	ERBB3
BTC	ERBB4
BTLA	CD79A
BTLA	TNFRSF14
BTLA	VTCN1
C1QA	CD33
C1QA	CD93
C1QA	CSPG4
C1QB	CD33
C1QB	LRP1
C1QTNF1	AVPR2
C3	C3AR1
C3	C5AR2
C3	CD19
C3	CD46
C3	CR1
C3	CR2
C3	ITGAM
C3	ITGAX
C3	ITGB2
C3	LRP1
C3	NRP1
C4A	C3AR1
C4A	C5AR2
C4A	CR1
C4A	NRP1
C4B	CD46
C4B	CR1
C4BPA	BMPR2
C4BPA	CD40
C4BPA	LRP1
C5	C5AR1
C5	C5AR2
CADM1	CADM1
CADM1	CADM3
CADM1	CRTAM
CADM1	NECTIN3
CADM3	CADM1
CADM3	CADM3
CADM3	NECTIN1
CADM3	NECTIN3
CALCA	CALCR
CALCA	CALCRL
CALCA	RAMP1
CALCA	RAMP2
CALCB	CALCR
CALCB	CALCRL
CALCB	RAMP1
CALR	ITGA3
CALR	ITGAV
CALR	LRP1
CALR	MTNR1A
CALR	SCARF1
CALR	TSHR
CAMP	FPR2
CCK	CCKAR
CCK	CCKBR
CCL1	CCR8
CCL11	ACKR2
CCL11	ACKR4
CCL11	CCR2
CCL11	CCR3
CCL11	CCR5
CCL11	CXCR3
CCL13	ACKR2
CCL13	ACKR4
CCL13	CCR2
CCL13	CCR3
CCL13	CCR5
CCL13	CXCR3
CCL14	ACKR2
CCL14	CCR1
CCL14	CCR3
CCL14	CCR5
CCL15	CCR1
CCL15	CCR3
CCL16	CCR1
CCL16	CCR2
CCL16	CCR5
CCL16	CCR8
CCL16	HRH4
CCL17	ACKR1
CCL17	ACKR2
CCL17	CCR4
CCL17	CCR8
CCL18	CCR3
CCL18	CCR8
CCL18	PITPNM3
CCL19	ACKR2
CCL19	ACKR4
CCL19	CCR10
CCL19	CCR7
CCL19	CCRL2
CCL19	CXCR3
CCL2	ACKR1
CCL2	ACKR2
CCL2	ACKR4
CCL2	CCR1
CCL2	CCR10
CCL2	CCR2
CCL2	CCR3
CCL2	CCR4
CCL2	CCR5
CCL20	ACKR4
CCL20	CCR6
CCL20	CXCR3
CCL21	ACKR2
CCL21	ACKR4
